"","COUNTRY","FLOW","PRODUCT","1971","2000"
"253","Ghana","International marine bunkers","Biogasoline","0.000000000","0.000000000"
"254","Ghana","International marine bunkers","Biodiesels","0.000000000","0.000000000"
"255","Ghana","International marine bunkers","Bio jet kerosene","0.000000000","0.000000000"
"256","Ghana","International marine bunkers","Other liquid biofuels","0.000000000","0.000000000"
"257","Ghana","International marine bunkers","Non-specified primary biofuels and waste","0.000000000","0.000000000"
"258","Ghana","International marine bunkers","Charcoal","0.000000000","0.000000000"
"259","Ghana","International marine bunkers","Elec/heat output from non-specified manufactured gases","0.000000000","0.000000000"
"260","Ghana","International marine bunkers","Heat output from non-specified combustible fuels","0.000000000","0.000000000"
"261","Ghana","International marine bunkers","Nuclear","0.000000000","0.000000000"
"262","Ghana","International marine bunkers","Hydro","0.000000000","0.000000000"
"263","Ghana","International marine bunkers","Geothermal","0.000000000","0.000000000"
"264","Ghana","International marine bunkers","Solar photovoltaics","0.000000000","0.000000000"
"265","Ghana","International marine bunkers","Solar thermal","0.000000000","0.000000000"
"266","Ghana","International marine bunkers","Tide, wave and ocean","0.000000000","0.000000000"
"267","Ghana","International marine bunkers","Wind","0.000000000","0.000000000"
"268","Ghana","International marine bunkers","Other sources","0.000000000","0.000000000"
"269","Ghana","International marine bunkers","Electricity","0.000000000","0.000000000"
"270","Ghana","International marine bunkers","Heat","0.000000000","0.000000000"
"271","Ghana","International marine bunkers","Total","-2137.001300000","-2164.998500000"
"272","Ghana","International marine bunkers","Memo: Renewables","0.000000000","0.000000000"
"273","Ghana","International aviation bunkers","Hard coal (if no detail)","0.000000000","x"
"274","Ghana","International aviation bunkers","Brown coal (if no detail)","0.000000000","x"
"275","Ghana","International aviation bunkers","Anthracite","..","0.000000000"
"276","Ghana","International aviation bunkers","Coking coal","..","0.000000000"
"277","Ghana","International aviation bunkers","Other bituminous coal","..","0.000000000"
"278","Ghana","International aviation bunkers","Sub-bituminous coal","..","0.000000000"
"279","Ghana","International aviation bunkers","Lignite","..","0.000000000"
"280","Ghana","International aviation bunkers","Patent fuel","0.000000000","0.000000000"
"281","Ghana","International aviation bunkers","Coke oven coke","0.000000000","0.000000000"
"282","Ghana","International aviation bunkers","Gas coke","0.000000000","0.000000000"
"283","Ghana","International aviation bunkers","Coal tar","0.000000000","0.000000000"
"284","Ghana","International aviation bunkers","BKB","0.000000000","0.000000000"
"285","Ghana","International aviation bunkers","Gas works gas","0.000000000","0.000000000"
"286","Ghana","International aviation bunkers","Coke oven gas","0.000000000","0.000000000"
"287","Ghana","International aviation bunkers","Blast furnace gas","0.000000000","0.000000000"
"288","Ghana","International aviation bunkers","Other recovered gases","0.000000000","0.000000000"
"289","Ghana","International aviation bunkers","Peat","0.000000000","0.000000000"
"290","Ghana","International aviation bunkers","Peat products","0.000000000","0.000000000"
"291","Ghana","International aviation bunkers","Oil shale and oil sands","0.000000000","0.000000000"
"292","Ghana","International aviation bunkers","Natural gas","0.000000000","0.000000000"
"293","Ghana","International aviation bunkers","Crude/NGL/feedstocks (if no detail)","x","x"
"294","Ghana","International aviation bunkers","Crude oil","0.000000000","0.000000000"
"295","Ghana","International aviation bunkers","Natural gas liquids","0.000000000","0.000000000"
"296","Ghana","International aviation bunkers","Refinery feedstocks","0.000000000","0.000000000"
"297","Ghana","International aviation bunkers","Additives/blending components","0.000000000","0.000000000"
"298","Ghana","International aviation bunkers","Other hydrocarbons","0.000000000","0.000000000"
"299","Ghana","International aviation bunkers","Refinery gas","0.000000000","0.000000000"
"300","Ghana","International aviation bunkers","Ethane","0.000000000","0.000000000"
"301","Ghana","International aviation bunkers","Liquefied petroleum gases (LPG)","0.000000000","0.000000000"
"302","Ghana","International aviation bunkers","Motor gasoline excl. biofuels","0.000000000","0.000000000"
"303","Ghana","International aviation bunkers","Aviation gasoline","-44.798800000","-223.998000000"
"304","Ghana","International aviation bunkers","Gasoline type jet fuel","0.000000000","0.000000000"
"305","Ghana","International aviation bunkers","Kerosene type jet fuel excl. biofuels","-1828.601600000","-4326.199500000"
"306","Ghana","International aviation bunkers","Other kerosene","0.000000000","0.000000000"
"307","Ghana","International aviation bunkers","Gas/diesel oil excl. biofuels","0.000000000","0.000000000"
"308","Ghana","International aviation bunkers","Fuel oil","0.000000000","0.000000000"
"309","Ghana","International aviation bunkers","Naphtha","0.000000000","0.000000000"
"310","Ghana","International aviation bunkers","White spirit & SBP","0.000000000","0.000000000"
"311","Ghana","International aviation bunkers","Lubricants","0.000000000","0.000000000"
"312","Ghana","International aviation bunkers","Bitumen","0.000000000","0.000000000"
"313","Ghana","International aviation bunkers","Paraffin waxes","0.000000000","0.000000000"
"314","Ghana","International aviation bunkers","Petroleum coke","0.000000000","0.000000000"
"315","Ghana","International aviation bunkers","Other oil products","0.000000000","0.000000000"
"316","Ghana","International aviation bunkers","Industrial waste","0.000000000","0.000000000"
"317","Ghana","International aviation bunkers","Municipal waste (renewable)","0.000000000","0.000000000"
"318","Ghana","International aviation bunkers","Municipal waste (non-renewable)","0.000000000","0.000000000"
"319","Ghana","International aviation bunkers","Primary solid biofuels","0.000000000","0.000000000"
"320","Ghana","International aviation bunkers","Biogases","0.000000000","0.000000000"
"321","Ghana","International aviation bunkers","Biogasoline","0.000000000","0.000000000"
"322","Ghana","International aviation bunkers","Biodiesels","0.000000000","0.000000000"
"323","Ghana","International aviation bunkers","Bio jet kerosene","0.000000000","0.000000000"
"324","Ghana","International aviation bunkers","Other liquid biofuels","0.000000000","0.000000000"
"325","Ghana","International aviation bunkers","Non-specified primary biofuels and waste","0.000000000","0.000000000"
"326","Ghana","International aviation bunkers","Charcoal","0.000000000","0.000000000"
"327","Ghana","International aviation bunkers","Elec/heat output from non-specified manufactured gases","0.000000000","0.000000000"
"328","Ghana","International aviation bunkers","Heat output from non-specified combustible fuels","0.000000000","0.000000000"
"329","Ghana","International aviation bunkers","Nuclear","0.000000000","0.000000000"
"330","Ghana","International aviation bunkers","Hydro","0.000000000","0.000000000"
"331","Ghana","International aviation bunkers","Geothermal","0.000000000","0.000000000"
"332","Ghana","International aviation bunkers","Solar photovoltaics","0.000000000","0.000000000"
"333","Ghana","International aviation bunkers","Solar thermal","0.000000000","0.000000000"
"334","Ghana","International aviation bunkers","Tide, wave and ocean","0.000000000","0.000000000"
"335","Ghana","International aviation bunkers","Wind","0.000000000","0.000000000"
"336","Ghana","International aviation bunkers","Other sources","0.000000000","0.000000000"
"337","Ghana","International aviation bunkers","Electricity","0.000000000","0.000000000"
"338","Ghana","International aviation bunkers","Heat","0.000000000","0.000000000"
"339","Ghana","International aviation bunkers","Total","-1873.400400000","-4550.197500000"
"340","Ghana","International aviation bunkers","Memo: Renewables","0.000000000","0.000000000"
"341","Ghana","Stock changes","Hard coal (if no detail)","0.000000000","x"
"342","Ghana","Stock changes","Brown coal (if no detail)","0.000000000","x"
"343","Ghana","Stock changes","Anthracite","..","0.000000000"
"344","Ghana","Stock changes","Coking coal","..","0.000000000"
