,,TIME,1971,2000
Ghana,Total primary energy supply,Memo: Renewables,2338,4457
Ghana,Transfers,Hard coal (if no detail),0,x
Ghana,Transfers,Brown coal (if no detail),0,x
Ghana,Transfers,Anthracite,..,0
Ghana,Transfers,Coking coal,..,0
Ghana,Transfers,Other bituminous coal,..,0
Ghana,Transfers,Sub-bituminous coal,..,0
Ghana,Transfers,Lignite,..,0
Ghana,Transfers,Patent fuel,0,0
Ghana,Transfers,Coke oven coke,0,0
Ghana,Transfers,Gas coke,0,0
Ghana,Transfers,Coal tar,0,0
Ghana,Transfers,BKB,0,0
Ghana,Transfers,Gas works gas,0,0
Ghana,Transfers,Coke oven gas,0,0
Ghana,Transfers,Blast furnace gas,0,0
Ghana,Transfers,Other recovered gases,0,0
Ghana,Transfers,Peat,0,0
Ghana,Transfers,Peat products,0,0
Ghana,Transfers,Oil shale and oil sands,0,0
Ghana,Transfers,Natural gas,0,0
Ghana,Transfers,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Transfers,Crude oil,0,0
Ghana,Transfers,Natural gas liquids,0,0
Ghana,Transfers,Refinery feedstocks,0,0
Ghana,Transfers,Additives/blending components,0,0
Ghana,Transfers,Other hydrocarbons,0,0
Ghana,Transfers,Refinery gas,0,0
Ghana,Transfers,Ethane,0,0
Ghana,Transfers,Liquefied petroleum gases (LPG),0,0
Ghana,Transfers,Motor gasoline excl. biofuels,0,0
Ghana,Transfers,Aviation gasoline,0,0
Ghana,Transfers,Gasoline type jet fuel,0,0
Ghana,Transfers,Kerosene type jet fuel excl. biofuels,0,0
Ghana,Transfers,Other kerosene,0,0
Ghana,Transfers,Gas/diesel oil excl. biofuels,0,0
Ghana,Transfers,Fuel oil,0,0
Ghana,Transfers,Naphtha,0,0
Ghana,Transfers,White spirit & SBP,0,0
Ghana,Transfers,Lubricants,0,0
Ghana,Transfers,Bitumen,0,0
Ghana,Transfers,Paraffin waxes,0,0
Ghana,Transfers,Petroleum coke,0,0
Ghana,Transfers,Other oil products,0,0
Ghana,Transfers,Industrial waste,0,0
Ghana,Transfers,Municipal waste (renewable),0,0
Ghana,Transfers,Municipal waste (non-renewable),0,0
Ghana,Transfers,Primary solid biofuels,0,0
Ghana,Transfers,Biogases,0,0
Ghana,Transfers,Biogasoline,0,0
Ghana,Transfers,Biodiesels,0,0
Ghana,Transfers,Bio jet kerosene,0,0
Ghana,Transfers,Other liquid biofuels,0,0
Ghana,Transfers,Non-specified primary biofuels and waste,0,0
Ghana,Transfers,Charcoal,0,0
Ghana,Transfers,Elec/heat output from non-specified manufactured gases,0,0
Ghana,Transfers,Heat output from non-specified combustible fuels,0,0
Ghana,Transfers,Nuclear,0,0
Ghana,Transfers,Hydro,0,0
Ghana,Transfers,Geothermal,0,0
Ghana,Transfers,Solar photovoltaics,0,0
Ghana,Transfers,Solar thermal,0,0
Ghana,Transfers,"Tide, wave and ocean",0,0
Ghana,Transfers,Wind,0,0
Ghana,Transfers,Other sources,0,0
Ghana,Transfers,Electricity,0,0
Ghana,Transfers,Heat,0,0
Ghana,Transfers,Total,0,0
Ghana,Transfers,Memo: Renewables,0,0
Ghana,Statistical differences,Hard coal (if no detail),0,x
Ghana,Statistical differences,Brown coal (if no detail),0,x
Ghana,Statistical differences,Anthracite,..,0
Ghana,Statistical differences,Coking coal,..,0
Ghana,Statistical differences,Other bituminous coal,..,0
Ghana,Statistical differences,Sub-bituminous coal,..,0
Ghana,Statistical differences,Lignite,..,0
Ghana,Statistical differences,Patent fuel,0,0
Ghana,Statistical differences,Coke oven coke,0,0
Ghana,Statistical differences,Gas coke,0,0
Ghana,Statistical differences,Coal tar,0,0
Ghana,Statistical differences,BKB,0,0
Ghana,Statistical differences,Gas works gas,0,0
Ghana,Statistical differences,Coke oven gas,0,0
Ghana,Statistical differences,Blast furnace gas,0,0
Ghana,Statistical differences,Other recovered gases,0,0
Ghana,Statistical differences,Peat,0,0
Ghana,Statistical differences,Peat products,0,0
Ghana,Statistical differences,Oil shale and oil sands,0,0
Ghana,Statistical differences,Natural gas,0,0
Ghana,Statistical differences,Crude/NGL/feedstocks (if no detail),x,x
Ghana,Statistical differences,Crude oil,0,0
Ghana,Statistical differences,Natural gas liquids,0,0
Ghana,Statistical differences,Refinery feedstocks,0,0
Ghana,Statistical differences,Additives/blending components,0,0
Ghana,Statistical differences,Other hydrocarbons,0,0
Ghana,Statistical differences,Refinery gas,0,0
Ghana,Statistical differences,Ethane,0,0
Ghana,Statistical differences,Liquefied petroleum gases (LPG),0,3
Ghana,Statistical differences,Motor gasoline excl. biofuels,0,0
Ghana,Statistical differences,Aviation gasoline,0,0
Ghana,Statistical differences,Gasoline type jet fuel,0,0
Ghana,Statistical differences,Kerosene type jet fuel excl. biofuels,0,-44
Ghana,Statistical differences,Other kerosene,0,0
Ghana,Statistical differences,Gas/diesel oil excl. biofuels,20,0
Ghana,Statistical differences,Fuel oil,0,-13
Ghana,Statistical differences,Naphtha,0,0
Ghana,Statistical differences,White spirit & SBP,0,0
Ghana,Statistical differences,Lubricants,0,0
Ghana,Statistical differences,Bitumen,0,0
Ghana,Statistical differences,Paraffin waxes,0,0
